TIMESTAMP ECG(microV)
789051609587332480 -80
789051609595027200 -85
789051609602722048 -101
789051609610416768 -80
789051609618111616 -61
789051609625806336 -68
789051609633501184 -68
789051609641195904 -56
789051609648890752 -49
789051609656585472 -49
789051609664280320 -42
789051609671975040 -23
789051609679669888 -14
789051609687364608 -16
789051609695059456 -11
789051609702754176 2
789051609710449024 4
789051609718143872 -2
789051609725838592 4
789051609733533440 26
789051609741228160 33
789051609748923008 33
789051609756617728 47
789051609764312576 59
789051609772007296 59
789051609779702144 52
789051609787396864 52
789051609795091712 49
789051609802786432 44
789051609810481280 37
789051609818176000 28
789051609825870848 14
789051609833565568 -4
789051609841260416 -23
789051609848955136 -35
789051609856649984 -44
789051609864344704 -59
789051609872039552 -73
789051609879734272 -80
789051609887429120 -82
789051609895123840 -87
789051609902818688 -82
789051609910513408 -71
789051609918208256 -68
789051609925902976 -75
789051609933597824 -78
789051609941292672 -68
789051609948987392 -63
789051609956682240 -66
789051609964376960 -71
789051609972071808 -73
789051609979766528 -73
789051609987461376 -80
789051609995156096 -80
789051610002850944 -78
789051610010545664 -85
789051610018240512 -94
789051610025935232 -89
789051610033630080 -87
789051610041324770 -92
789051610049019392 -92
789051610056713984 -94
789051610064408704 -97
789051610072103296 -99
789051610079798016 -97
789051610087492608 -94
789051610095187328 -99
789051610102881920 -108
789051610110576512 -120
789051610118271232 -120
789051610125965824 -111
789051610133660544 -120
789051610141355136 -130
789051610149049856 -108
789051610156744448 -82
789051610164439040 -94
789051610172133760 -116
789051610179828352 -123
789051610187523072 -132
789051610195217664 -144
789051610202912384 -144
789051610210606976 -139
789051610218301568 -137
789051610225996288 -132
789051610233690880 -130
789051610241385600 -125
789051610249080192 -123
789051610256774912 -120
789051610264469504 -111
789051610272164096 -99
789051610279858816 -116
789051610287553408 -161
789051610295248128 -111
789051610302942720 118
789051610310637440 435
789051610318332032 639
789051610326026624 535
789051610333721344 161
789051610341415936 -172
789051610349110656 -210
789051610356805248 -89
789051610364499968 -87
789051610372194560 -130
789051610379889152 -104
789051610387583872 -89
789051610395278464 -97
789051610402973184 -87
789051610410667776 -80
789051610418362496 -75
789051610426057088 -61
789051610433751680 -61
789051610441446400 -61
789051610449140992 -44
789051610456835712 -35
789051610464530304 -30
789051610472225024 -21
789051610479919616 -11
789051610487614208 -2
789051610495308928 9
789051610503003520 21
789051610510698240 33
789051610518392832 40
789051610526087552 44
789051610533782144 61
789051610541476736 80
789051610549171456 85
789051610556866048 87
789051610564560768 94
789051610572255360 94
789051610579950080 89
789051610587644672 87
789051610595339264 87
789051610603033992 85
789051610610728064 68
789051610618422144 49
789051610626116224 35
789051610633810304 23
789051610641504384 9
789051610649198464 -9
789051610656892544 -23
789051610664586752 -30
789051610672280832 -47
789051610679974912 -66
789051610687668992 -61
789051610695363072 -49
789051610703057152 -52
789051610710751232 -54
789051610718445312 -47
789051610726139392 -40
789051610733833472 -40
789051610741527552 -40
789051610749221632 -35
789051610756915712 -37
789051610764609792 -40
789051610772304000 -35
789051610779998080 -33
789051610787692160 -28
789051610795386240 -30
789051610803080320 -37
789051610810774400 -35
789051610818468480 -28
789051610826162560 -30
789051610833856640 -33
789051610841550720 -26
789051610849244800 -26
789051610856938880 -33
789051610864632960 -35
789051610872327168 -28
789051610880021248 -26
789051610887715328 -33
789051610895409408 -37
789051610903103488 -23
789051610910797568 -16
789051610918491648 -26
789051610926185728 -26
